team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['CALLUM MC GRACE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",14.9541015625,5.512065272177419,16.9765625,6,15
"['BILES SIMONE', 'CAREY JADE', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",14.93359375,4.621196847507331,16.9765625,7,15
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'WONG LEANNE']",14.1591796875,5.0391531876221896,16.9765625,8,15
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM']",13.3486328125,5.193096858198925,16.9765625,9,15
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR']",13.1748046875,3.475767312744379,16.9765625,10,15
"['BILES SIMONE', 'JONES SHILESE', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",12.2353515625,5.1537441578079175,16.9765625,11,15
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR']",10.08203125,3.995219330400782,16.9765625,12,15
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",17.119140625,5.588919690860215,17.119140625,1,16
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.8154296875,5.4820295317082115,17.119140625,2,16
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.4287109375,3.836555130437439,17.119140625,3,16
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.0068359375,5.379229861620234,17.119140625,4,16
"['JONES SHILESE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",15.9013671875,7.600232733076735,17.119140625,5,16
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'MC CALLUM', 'MCCLAIN KONNOR']",14.5576171875,6.536266457416911,17.119140625,6,16
"['JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",12.80078125,3.8898918621700878,17.119140625,7,16
"['CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",11.9560546875,3.8172262570259043,17.119140625,8,16
"['CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'LINCOLN KALIYA', 'SKINNER MYKAYLA']",10.2109375,3.769733626588465,17.119140625,9,16
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR']",10.0205078125,5.7033913352272725,17.119140625,10,16
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR']",8.83203125,5.2816318426197455,17.119140625,11,16
"['BILES SIMONE', 'CAREY JADE', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",8.73828125,4.373274071358749,17.119140625,12,16
