LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,17,6.000,8.333,0,14.333
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,6,6.300,8.533,0,14.833
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,18,5.900,8.333,0,14.233
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,6,5.600,9.266,-0.1,14.766
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,15,6.500,8.633,0,15.133
SUN,Wei,m,CHN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,18,6.200,7.800,0,14.000
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,23,5.800,8.266,0,14.066
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,11,6.300,8.366,0,14.666
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,12,5.800,8.600,0,14.400
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,46,5.600,8.533,-0.3,13.833
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,7,6.600,8.800,0,15.400
FRASER,Joe,m,GBR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,19,6.100,7.833,0,13.933
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,37,5.700,8.000,0,13.700
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,26,5.800,8.000,0,13.800
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,10,6.000,8.500,0,14.500
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,14,5.600,9.058,0,14.658
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,12,6.400,8.833,0,15.233
DALALOYAN,Artur,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,14,6.000,8.066,0,14.066
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,11,6.200,8.466,0,14.666
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,22,5.700,8.216,0,13.916
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,44,4.500,8.833,0,13.333
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,11,5.600,9.100,0,14.700
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,22,6.300,8.600,0,14.900
KITAZONO,Takeru,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,6,5.900,8.533,0,14.433
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,13,6.300,8.300,0,14.600
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,39,5.400,7.933,0,13.333
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,13,6.000,8.366,0,14.366
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,26,5.200,9.133,0,14.333
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,14,6.500,8.700,0,15.200
ONDER,Ahmet,m,TUR,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,21,5.700,8.133,0,13.833
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,27,5.600,8.333,0,13.933
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,7,6.400,8.433,0,14.833
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,14,6.100,8.266,0,14.366
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,62,5.600,7.900,-0.3,13.200
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,17,6.300,8.800,0,15.100
KAYA,Kazuma,m,JPN,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,17,6.100,7.933,0,14.033
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,59,5.200,7.733,0,12.933
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PH,9,6.400,8.333,0,14.733
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",SR,23,5.700,8.300,0,14.000
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",VT,30,5.600,8.700,0,14.300
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",PB,9,6.600,8.725,0,15.325
BELYAVSKIY,David,m,ROC,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",HB,16,5.700,8.333,0,14.033
MALONE,Brody,m,USA,SAT 24 JUL 2021,Olympic Games,qual,"Tokyo, Japan",FX,39,5.500,8.266,-0.1,13.666
